Statistical profiling result from debug-v8.log, (13757 ticks, 29 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  10641   77.3%          /usr/local/lib/nodejs/bin/node
    473    3.4%          /usr/lib/x86_64-linux-gnu/libc.so.6
     32    0.2%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
      9    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    113    0.8%    4.3%  LazyCompile: *resolve node:path:1091:10
     58    0.4%    2.2%  LazyCompile: *parse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     29    0.2%    1.1%  LazyCompile: *wrap /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     25    0.2%    1.0%  LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     21    0.2%    0.8%  LazyCompile: *step /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:31:18
     19    0.1%    0.7%  RegExp: [ \t]+$
     19    0.1%    0.7%  LazyCompile: *normalizeString node:path:66:25
     19    0.1%    0.7%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
     18    0.1%    0.7%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
     18    0.1%    0.7%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:167:47
     17    0.1%    0.7%  LazyCompile: *SourceNode_walk /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:221:53
     16    0.1%    0.6%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:368:47
     15    0.1%    0.6%  LazyCompile: *join node:path:1166:7
     15    0.1%    0.6%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
     14    0.1%    0.5%  LazyCompile: *fulfilled /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:21:27
     12    0.1%    0.5%  LazyCompile: *SourceNode_add /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:172:51
     11    0.1%    0.4%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
     11    0.1%    0.4%  RegExp: \r?\n\s*?$
     11    0.1%    0.4%  LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:176:16
     11    0.1%    0.4%  LazyCompile: *compile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      8    0.1%    0.3%  LazyCompile: *realpathSync node:fs:2412:22
      7    0.1%    0.3%  LazyCompile: *dirname node:path:1275:10
      7    0.1%    0.3%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      7    0.1%    0.3%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:227:47
      6    0.0%    0.2%  RegExp: (?:\r\n?|\n).*
      6    0.0%    0.2%  LazyCompile: *readFileAfterClose node:internal/fs/read_file_context:46:28
      6    0.0%    0.2%  LazyCompile: *makeAbs /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/common.js:199:18
      6    0.0%    0.2%  LazyCompile: *__generator /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:27:58
      6    0.0%    0.2%  LazyCompile: *WhitespaceControl.Program /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      6    0.0%    0.2%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:174:29
      6    0.0%    0.2%  Function: ^fulfilled /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:21:27
      6    0.0%    0.2%  Function: ^Module._load node:internal/modules/cjs/loader:757:24
      5    0.0%    0.2%  LazyCompile: *trim_prefix /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:288:23
      5    0.0%    0.2%  LazyCompile: *relative node:path:1190:11
      5    0.0%    0.2%  LazyCompile: *generateList /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      5    0.0%    0.2%  LazyCompile: *extname node:path:1385:10
      5    0.0%    0.2%  LazyCompile: *Glob._process /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:295:36
      5    0.0%    0.2%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/helpers/each.js:15:44
      5    0.0%    0.2%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      5    0.0%    0.2%  Function: ^FastBuffer node:internal/buffer:958:14
      5    0.0%    0.2%  Function: ^<anonymous> node:internal/util:347:32
      4    0.0%    0.2%  RegExp: ^(?:\}\}\}\})
      4    0.0%    0.2%  RegExp: ^(?:\{\{(~)?\s*else\b)
      4    0.0%    0.2%  RegExp: ^(?:\{\{(~)?#\*?)
      4    0.0%    0.2%  RegExp: -?-?~?\}\}$
      4    0.0%    0.2%  LazyCompile: *wrapper /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/wrappy/wrappy.js:19:19
      4    0.0%    0.2%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      4    0.0%    0.2%  LazyCompile: *normalize node:path:1127:12
      4    0.0%    0.2%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      4    0.0%    0.2%  LazyCompile: *extend /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      4    0.0%    0.2%  Function: ^emit node:events:474:44
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\/)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?&)
      3    0.0%    0.1%  RegExp: ^(?:\))
      3    0.0%    0.1%  RegExp: ^(?:[^\x00]+)
      3    0.0%    0.1%  LazyCompile: *replaceStack /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      3    0.0%    0.1%  LazyCompile: *quotedString /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      3    0.0%    0.1%  LazyCompile: *push /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:868:22
      3    0.0%    0.1%  LazyCompile: *preparePath /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      3    0.0%    0.1%  LazyCompile: *parse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/minimatch/minimatch.js:296:16
      3    0.0%    0.1%  LazyCompile: *module.exports /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/utils-merge/index.js:16:36
      3    0.0%    0.1%  LazyCompile: *emit node:events:474:44
      3    0.0%    0.1%  LazyCompile: *_addListener node:events:554:22
      3    0.0%    0.1%  LazyCompile: *SourceNode /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:35:20
      3    0.0%    0.1%  LazyCompile: *RES /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/inflight/inflight.js:18:28
      3    0.0%    0.1%  LazyCompile: *Program /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:85:24
      3    0.0%    0.1%  Function: ^writeOrBuffer node:internal/streams/writable:365:23
      3    0.0%    0.1%  Function: ^writeHead node:_http_server:269:19
      3    0.0%    0.1%  Function: ^validateString node:internal/validators:118:24
      3    0.0%    0.1%  Function: ^stat node:internal/modules/cjs/loader:151:14
      3    0.0%    0.1%  Function: ^resolvePath /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:492:36
      3    0.0%    0.1%  Function: ^readFileAfterClose node:internal/fs/read_file_context:46:28
      3    0.0%    0.1%  Function: ^parseWithoutProcessing /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/base.js:33:32
      3    0.0%    0.1%  Function: ^mergeSource /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:267:36
      3    0.0%    0.1%  Function: ^get node:_http_incoming:108:16
      3    0.0%    0.1%  Function: ^_write node:internal/streams/writable:283:16
      3    0.0%    0.1%  Function: ^Socket._writeGeneric node:net:769:42
      3    0.0%    0.1%  Function: ^Module._resolveFilename node:internal/modules/cjs/loader:848:35
      3    0.0%    0.1%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:227:47
      2    0.0%    0.1%  RegExp: ^\s*?(\r?\n|$)
      2    0.0%    0.1%  RegExp: ^\/api\/info\/?(?=\/|$)
