Statistical profiling result from nodebug-v8.log, (13639 ticks, 20 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  10546   77.3%          /usr/local/lib/nodejs/bin/node
    428    3.1%          /usr/lib/x86_64-linux-gnu/libc.so.6
     20    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
      9    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    113    0.8%    4.3%  LazyCompile: *resolve node:path:1091:10
     60    0.4%    2.3%  LazyCompile: *parse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     49    0.4%    1.9%  LazyCompile: *wrap /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     35    0.3%    1.3%  LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     30    0.2%    1.1%  LazyCompile: *normalizeString node:path:66:25
     20    0.1%    0.8%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:167:47
     18    0.1%    0.7%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
     16    0.1%    0.6%  LazyCompile: *step /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:31:18
     16    0.1%    0.6%  LazyCompile: *join node:path:1166:7
     16    0.1%    0.6%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:368:47
     13    0.1%    0.5%  LazyCompile: *fulfilled /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:21:27
     12    0.1%    0.5%  RegExp: [ \t]+$
     11    0.1%    0.4%  LazyCompile: *SourceNode_walk /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:221:53
     10    0.1%    0.4%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
     10    0.1%    0.4%  LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:176:16
     10    0.1%    0.4%  LazyCompile: *compile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
     10    0.1%    0.4%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
      9    0.1%    0.3%  LazyCompile: *WhitespaceControl.Program /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      8    0.1%    0.3%  LazyCompile: *realpathSync node:fs:2412:22
      8    0.1%    0.3%  LazyCompile: *SourceNode_add /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:172:51
      8    0.1%    0.3%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      7    0.1%    0.3%  LazyCompile: *normalize node:path:1127:12
      7    0.1%    0.3%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:227:47
      6    0.0%    0.2%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
      6    0.0%    0.2%  LazyCompile: *extend /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      6    0.0%    0.2%  LazyCompile: *createError /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/http-errors/index.js:49:22
      6    0.0%    0.2%  LazyCompile: *Glob._process /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:295:36
      5    0.0%    0.2%  LazyCompile: *makeAbs /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/common.js:199:18
      5    0.0%    0.2%  LazyCompile: *emit node:events:474:44
      5    0.0%    0.2%  LazyCompile: *dirname node:path:1275:10
      5    0.0%    0.2%  LazyCompile: *__awaiter /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:18:54
      5    0.0%    0.2%  LazyCompile: *SourceNode /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:35:20
      5    0.0%    0.2%  LazyCompile: *Module._compile node:internal/modules/cjs/loader:1057:37
      4    0.0%    0.2%  RegExp: ^(?:\{\{(~)?&)
      4    0.0%    0.2%  RegExp: ^(?:\{\{(~)?#>)
      4    0.0%    0.2%  RegExp: \r?\n\s*?$
      4    0.0%    0.2%  RegExp: (?:\r\n?|\n).*
      4    0.0%    0.2%  LazyCompile: *readFileAfterClose node:internal/fs/read_file_context:46:28
      4    0.0%    0.2%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      4    0.0%    0.2%  LazyCompile: *generateList /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      4    0.0%    0.2%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      4    0.0%    0.2%  LazyCompile: *accept /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:101:26
      4    0.0%    0.2%  LazyCompile: *_addListener node:events:554:22
      4    0.0%    0.2%  LazyCompile: *__generator /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:27:58
      4    0.0%    0.2%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:174:29
      4    0.0%    0.2%  Function: ^ret /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:188:15
      4    0.0%    0.2%  Function: ^_write node:internal/streams/writable:283:16
      3    0.0%    0.1%  RegExp: ^(?:undefined(?=([~}\s)])))
      3    0.0%    0.1%  RegExp: ^(?:\}\}\}\})
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\{)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?>)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?!--)
      3    0.0%    0.1%  RegExp: ^(?:([^\s!"#%-,\.\/;->@\[-\^`\{-~]+(?=([=~}\s\/.)|]))))
      3    0.0%    0.1%  RegExp: ^(?!\.)(?=.)[^/]*?\.hbs$
      3    0.0%    0.1%  LazyCompile: *wrapper /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/wrappy/wrappy.js:19:19
      3    0.0%    0.1%  LazyCompile: *template /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      3    0.0%    0.1%  LazyCompile: *setHeader node:_http_outgoing:574:57
      3    0.0%    0.1%  LazyCompile: *relative node:path:1190:11
      3    0.0%    0.1%  LazyCompile: *readPackageScope node:internal/modules/cjs/loader:321:26
      3    0.0%    0.1%  LazyCompile: *readFile node:fs:373:18
      3    0.0%    0.1%  LazyCompile: *inflight /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/inflight/inflight.js:7:19
      3    0.0%    0.1%  LazyCompile: *execIteration /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/helpers/each.js:39:27
      3    0.0%    0.1%  LazyCompile: *close node:internal/fs/read_file_context:111:8
      3    0.0%    0.1%  LazyCompile: *SendStream /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/send/index.js:96:21
      3    0.0%    0.1%  LazyCompile: *Program /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/compiler.js:113:28
      3    0.0%    0.1%  LazyCompile: *Module._findPath node:internal/modules/cjs/loader:494:28
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:130:39
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:622:43
      3    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:208:81
      3    0.0%    0.1%  Function: ^trim_prefix /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:288:23
      3    0.0%    0.1%  Function: ^toString node:buffer:783:46
      3    0.0%    0.1%  Function: ^applyHeaders /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/cors/lib/index.js:144:24
      3    0.0%    0.1%  Function: ^Module._findPath node:internal/modules/cjs/loader:494:28
      3    0.0%    0.1%  Function: ^<anonymous> :1:20
      3    0.0%    0.1%  Function: ^<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:181:44
      2    0.0%    0.1%  RegExp: ^[\^_`a-zA-Z\-0-9!#$%&'*+.|~]+$
      2    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      2    0.0%    0.1%  RegExp: ^(?:false(?=([~}\s)])))
      2    0.0%    0.1%  RegExp: ^(?:\|)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\b)
      2    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      2    0.0%    0.1%  RegExp: ^(?:\()
      2    0.0%    0.1%  RegExp: ^(?:[\s\S]*?--(~)?\}\})
      2    0.0%    0.1%  RegExp: \r?\n?
      2    0.0%    0.1%  RegExp: ; *([!#$%&'*+.^_`|~0-9A-Za-z-]+) *= *("(?:[\u000b\u0020\u0021\u0023-\u005b\u005d-\u007e\u0080-\u00ff]|\\[\u000b\u0020-\u00ff])*"|[!#$%&'*+.^_`|~0-9A-Za-z-]+) *
      2    0.0%    0.1%  RegExp: (?:^|[\\/])\.\.(?:[\\/]|$)
      2    0.0%    0.1%  LazyCompile: *trim_prefix /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:288:23
      2    0.0%    0.1%  LazyCompile: *toString node:buffer:783:46
      2    0.0%    0.1%  LazyCompile: *replaceStack /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:892:38
      2    0.0%    0.1%  LazyCompile: *quotedString /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:118:38
      2    0.0%    0.1%  LazyCompile: *preparePath /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/helpers.js:63:21
      2    0.0%    0.1%  LazyCompile: *nextTick node:internal/process/task_queues:104:18
      2    0.0%    0.1%  LazyCompile: *get /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/debug/src/common.js:125:9
      2    0.0%    0.1%  LazyCompile: *castChunk /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:52:19
