Statistical profiling result from debub-v8.log, (15552 ticks, 28 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  12057   77.5%          /usr/local/lib/nodejs/bin/node
    559    3.6%          /usr/lib/x86_64-linux-gnu/libc.so.6
     32    0.2%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30
      9    0.1%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    107    0.7%    3.7%  LazyCompile: *resolve node:path:1091:10
     66    0.4%    2.3%  LazyCompile: *parse /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:269:30
     46    0.3%    1.6%  LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:478:32
     39    0.3%    1.3%  LazyCompile: *wrap /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:101:22
     30    0.2%    1.0%  LazyCompile: *normalizeString node:path:66:25
     23    0.1%    0.8%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:167:47
     20    0.1%    0.7%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:368:47
     18    0.1%    0.6%  LazyCompile: *Module._nodeModulePaths node:internal/modules/cjs/loader:629:37
     17    0.1%    0.6%  LazyCompile: *step /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:31:18
     17    0.1%    0.6%  LazyCompile: *SourceNode_walk /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:221:53
     16    0.1%    0.6%  RegExp: [ \t]+$
     16    0.1%    0.6%  LazyCompile: *readPackage node:internal/modules/cjs/loader:290:21
     16    0.1%    0.6%  LazyCompile: *fulfilled /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:21:27
     13    0.1%    0.4%  RegExp: ^(?:[^\x00]*?(?=(\{\{)))
     11    0.1%    0.4%  LazyCompile: *realpathSync node:fs:2412:22
     11    0.1%    0.4%  LazyCompile: *next /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express/lib/router/index.js:176:16
     11    0.1%    0.4%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:251:47
      9    0.1%    0.3%  RegExp: (?:\r\n?|\n).*
      9    0.1%    0.3%  LazyCompile: *join node:path:1166:7
      9    0.1%    0.3%  LazyCompile: *compile /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/javascript-compiler.js:73:28
      9    0.1%    0.3%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:12:42
      8    0.1%    0.3%  LazyCompile: *template /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/runtime.js:52:18
      8    0.1%    0.3%  LazyCompile: *generateList /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/code-gen.js:143:38
      8    0.1%    0.3%  LazyCompile: *formatRaw node:internal/util/inspect:820:19
      8    0.1%    0.3%  LazyCompile: *SourceNode_add /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:172:51
      8    0.1%    0.3%  LazyCompile: *Glob._process /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/glob.js:295:36
      7    0.0%    0.2%  RegExp: \r?\n\s*?$
      7    0.0%    0.2%  LazyCompile: *extend /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/utils.js:28:16
      7    0.0%    0.2%  LazyCompile: *dirname node:path:1275:10
      7    0.0%    0.2%  LazyCompile: *WhitespaceControl.Program /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/whitespace-control.js:19:48
      6    0.0%    0.2%  RegExp: [\u001B\u009B][[\]()#;?]*(?:(?:(?:(?:;[-a-zA-Z\d\/#&.:=?%@~_]+)*|[a-zA-Z\d]+(?:;[-a-zA-Z\d\/#&.:=?%@~_]*)*)?\u0007)|(?:(?:\d{1,4}(?:;\d{0,4})*)?[\dA-PR-TZcf-ntqry=><~]))
      6    0.0%    0.2%  LazyCompile: *normalize node:path:1127:12
      6    0.0%    0.2%  LazyCompile: *basename node:path:1306:11
      6    0.0%    0.2%  Function: ^fulfilled /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:21:27
      6    0.0%    0.2%  Function: ^compileFunction node:vm:308:25
      5    0.0%    0.2%  RegExp: ^(?:\{\{(~)?\s*else\b)
      5    0.0%    0.2%  LazyCompile: *makeAbs /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/glob/common.js:199:18
      5    0.0%    0.2%  LazyCompile: *getStringWidth node:internal/util/inspect:2181:43
      5    0.0%    0.2%  LazyCompile: *__generator /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:27:58
      5    0.0%    0.2%  LazyCompile: *Module._resolveLookupPaths node:internal/modules/cjs/loader:667:38
      5    0.0%    0.2%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:30:40
      5    0.0%    0.2%  Function: ^getEncodingOps node:buffer:679:24
      4    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\{)
      4    0.0%    0.1%  LazyCompile: *readFile node:fs:373:18
      4    0.0%    0.1%  LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      4    0.0%    0.1%  LazyCompile: *groupArrayElements node:internal/util/inspect:1338:28
      4    0.0%    0.1%  LazyCompile: *extname node:path:1385:10
      4    0.0%    0.1%  LazyCompile: *emit node:events:474:44
      4    0.0%    0.1%  LazyCompile: *anonymous /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/handlebars/dist/cjs/handlebars/compiler/parser.js:549:49
      4    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/source-map/lib/source-node.js:174:29
      4    0.0%    0.1%  LazyCompile: *<anonymous> /home/echevalier/Devel/Coder/Backend/backend_clase16/desafio/node_modules/express-handlebars/dist/express-handlebars.js:227:47
      4    0.0%    0.1%  Function: ^formatValue node:internal/util/inspect:745:21
      4    0.0%    0.1%  Function: ^<anonymous> :1:20
      3    0.0%    0.1%  RegExp: ^\[.*\]$
      3    0.0%    0.1%  RegExp: ^[a-zA-Z_][a-zA-Z_0-9]*$
      3    0.0%    0.1%  RegExp: ^[!#$%&'*+.^_`|~0-9A-Za-z-]+$
      3    0.0%    0.1%  RegExp: ^(?:null(?=([~}\s)])))
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\s*else\s*(~)?\}\})
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^\s*(~)?\}\})
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?\^)
      3    0.0%    0.1%  RegExp: ^(?:\{\{(~)?&)
      3    0.0%    0.1%  RegExp: ^(?:"(\\["]|[^"])*")
      3    0.0%    0.1%  RegExp: \u001b\[\d\d?m
